Feature,Importance
shipping_mode,0.4297177
delivery_days,0.032187063
discount_amount,0.0239213
profit_margin,0.023501247
sales_per_customer,0.023251854
profit_per_order,0.023233099
market,0.023020744
order_state,0.022885628
order_item_discount,0.022860773
sales,0.022787912
order_item_discount_rate,0.02268945
order_city,0.022671754
product_price,0.022641476
order_item_profit_ratio,0.022623071
month,0.022530166
order_country,0.022400128
customer_state,0.022342913
weekday,0.02225535
category_name,0.022014754
department_name,0.021963472
order_item_quantity,0.021917023
quarter,0.021916747
order_region,0.021833098
payment_type,0.021592205
is_weekend,0.021473907
customer_country,0.019767174
